"ID","statistic","p_value","p_adjust"
"204457_s_at",23.7889937014396,1.01843426970134e-47,1.57246251241887e-44
"209868_s_at",22.3396085250988,1.12460882600065e-45,7.14003837834207e-43
"225242_s_at",22.5604762087111,1.38731315641361e-45,7.14003837834207e-43
"223122_s_at",21.9028942658189,4.34993192182408e-45,1.6790737218241e-42
"202291_s_at",21.6531515796087,1.91669036427251e-44,5.91873984487351e-42
"227059_at",22.1275327865124,2.36108731647123e-44,6.07586469438596e-42
"218694_at",22.2193435621046,5.60239590195554e-44,1.23572846751705e-41
"226930_at",21.2687803939162,1.75292412312049e-43,3.38314355762255e-41
"225782_at",21.0701563895799,2.711054779304e-43,4.65096508805042e-41
"202363_at",21.2227138623305,3.64614837433804e-43,5.62965308997793e-41
"225442_at",20.5755597747797,5.95576500506674e-42,8.35972833438459e-40
"225464_at",20.4016069106046,7.52845974009343e-42,9.68661819892021e-40
"209210_s_at",20.2560487447959,9.57680832514618e-42,1.13743015800198e-39
"200986_at",20.3806714611118,6.62172433050183e-41,7.30281597592488e-39
"212354_at",20.0048183190646,8.89040767955338e-41,9.15119297148694e-39
"223121_s_at",21.5742808897928,1.05694523114809e-40,1.01995214805791e-38
"225481_at",20.0022166922368,1.58407842361699e-40,1.43871593297919e-38
"202766_s_at",19.6191819667634,2.15280480666138e-40,1.84662812304731e-38
"213413_at",20.9093567702986,3.60973551519762e-40,2.93338507129744e-38
"225710_at",19.4146740499333,5.85843351992127e-40,4.52271067737922e-38
"212353_at",19.4120285852401,1.19238873575928e-39,8.76689622863017e-38
"212344_at",19.2928837590332,2.40866989550087e-39,1.69044832666061e-37
"221748_s_at",19.504584675481,6.60896499449286e-39,4.43662693543347e-37
"226237_at",18.9234771156674,1.39586026277997e-38,8.98003435721783e-37
"209335_at",18.7793478126869,1.76071650046841e-38,1.08741851068929e-36
"213125_at",19.6034520027271,2.16582134173265e-38,1.28616467370585e-36
"202133_at",18.6804920785397,2.54056094803311e-38,1.45282448287523e-36
"212636_at",18.6003887416239,4.73228638156234e-38,2.6095179189758e-36
"227061_at",20.9927349755991,5.02049917339038e-38,2.6729830081775e-36
"201058_s_at",19.5367439412126,5.43388352973974e-38,2.79663872330605e-36
"215646_s_at",18.3476659066678,1.21044236427728e-37,5.94607246845158e-36
"225265_at",18.6907219221384,1.23234662558582e-37,5.94607246845158e-36
