"","t-statistic","p-value","p-adj"
"205343_at",-2.96875725034021,0.0035951445806895,0.00488824720518261
"213831_at",2.98432766112693,0.00365130179155155,0.00496019790848751
"1566465_at",-2.96522810809021,0.00368419377781215,0.00500044385977873
"216560_x_at",2.94491845212638,0.00404928204800891,0.00549109903941686
"203434_s_at",2.9604373313301,0.00410842794030452,0.00556637449257188
"239448_at",2.93947613615771,0.00412100694010394,0.00557848065897359
"204614_at",2.95271253454911,0.00441531457258051,0.00596933603863996
"206884_s_at",2.92912201785702,0.00441754260730181,0.00596933603863996
"1555963_x_at",-2.89275735666682,0.00446827483845414,0.00603256505967662
"1555745_a_at",-2.90084987735375,0.00451065788298021,0.00608442045713014
"237086_at",-2.89412747529571,0.00451879746225518,0.00609003425590905
"213456_at",-2.89537219963673,0.00457935156752922,0.00616621569910927
"229975_at",2.88405963278752,0.00464011989338355,0.00624255145586135
"205229_s_at",-2.88135186428374,0.00469213679178741,0.00630698984040959
"233899_x_at",2.87271439573336,0.00474861737369689,0.0063773098237982
"211643_x_at",2.88310272673562,0.00480100070010392,0.00644200882722095
"244107_at",-2.86538441496599,0.00486670643509638,0.00652445494932798
"239723_at",-2.85687325777838,0.00500577619535383,0.00670502480759992
"227123_at",2.85468714988025,0.00544582023117862,0.00728806885833433
"234764_x_at",2.79454817669864,0.00623105199592862,0.00833165118407573
"234632_x_at",-2.77245394682931,0.00648546077148441,0.00866425867464453
"238021_s_at",-2.7818453772842,0.00650916947683001,0.00868835088842785
"223541_at",-2.74686046132658,0.00707847179060312,0.0094400176928688
"222938_x_at",-2.73212504495485,0.00735464489325222,0.00979979228160935
"214012_at",2.72556205461066,0.00749152406590285,0.00997349856078023
"213094_at",-2.7260883888721,0.00760488067446116,0.0101156145200695
"206513_at",2.70925904515829,0.0078060720490563,0.0103742155443622
"221618_s_at",2.70119850897344,0.00802013924328753,0.0106494650316333
"230425_at",2.68696922250365,0.00843223828585948,0.0111869643116559
"213680_at",2.65653388099768,0.0093196897698902,0.0123536320672744
"204268_at",2.64734110220054,0.00963983785651099,0.0127669478878186
"205860_x_at",2.63109179014441,0.00983438892233513,0.013013353016504
"241036_at",2.62654719301992,0.00987552138990295,0.0130564967598803
"204784_s_at",2.61726969622677,0.00990566352729177,0.0130850481969661
"223645_s_at",-2.62359225465847,0.00991688494127717,0.0130885783147374
"205549_at",2.62038484175734,0.0105798526245308,0.0139515541500057
"220639_at",-2.58603203330094,0.010870649460804,0.0143226887474104
"237727_at",2.58141562951353,0.0111764815824132,0.0147129779042774
"203290_at",2.58875473065803,0.011279286491762,0.0148355563736148
"211798_x_at",2.56023830020525,0.0119011888795997,0.0156401031542207
"210397_at",-2.55483391083836,0.0119989345215198,0.0157550332353746
"205342_s_at",-2.55244005172617,0.0120746109291922,0.0158408134812281
"203649_s_at",-2.55203565065549,0.0122181667065776,0.01601542228405
"204733_at",2.55590976335448,0.0123064921678234,0.0161173990666703
"240502_at",2.53594972438623,0.0126360728706044,0.0165348953546114
"1554242_a_at",-2.5243746563011,0.0128328737234754,0.0167780782840656
"232752_at",2.52777149423774,0.0129198062986971,0.0168773237570864
"226789_at",2.51776789542734,0.0130654664514124,0.0170530512677854
"205543_at",-2.51631394170184,0.0132209832866701,0.0172413334002487
"234650_at",-2.5021419209665,0.0137955264553046,0.0179752774494224
"235763_at",-2.49946496708495,0.0138326573559548,0.0180083319829649
"228592_at",2.50442022342044,0.014009608442354,0.0182232035048801
"213880_at",-2.49775942620941,0.0142282282605254,0.0184918654217865
"206693_at",-2.48253721532129,0.0146113372298546,0.0189736703128986
