"","t-statistic","p-value","p-adj"
"208950_s_at",-4.72858717084155,5.90000818883535e-06,2.01143029992402e-05
"1559946_s_at",-4.79207219691085,5.92786219520464e-06,2.02062550761679e-05
"227095_at",4.72739890937168,5.93291489321582e-06,2.02204687201372e-05
"213953_at",-4.94156409331701,5.93402768154505e-06,2.02212521931894e-05
"218812_s_at",4.78346204623996,5.93502934481109e-06,2.02216568110991e-05
"221258_s_at",-4.74874545152395,5.95291255686263e-06,2.02795710679495e-05
"224797_at",4.72595071672864,5.98611739706004e-06,2.03896559703846e-05
"203097_s_at",4.71907824349466,6.01296685126953e-06,2.04780639099816e-05
"225161_at",-4.76270636219563,6.02072880995067e-06,2.05014498861582e-05
"224627_at",-4.7639140728725,6.02767247882846e-06,2.05220429288848e-05
"238378_at",-4.71734140167387,6.03035054736634e-06,2.05281091834619e-05
"235253_at",-4.7427415427937,6.03329745025288e-06,2.05350886466253e-05
"1565567_at",4.81939961458127,6.03479645625504e-06,2.05358745387706e-05
"204544_at",4.75756463616416,6.03532163998014e-06,2.05358745387706e-05
"219494_at",-4.7503144815249,6.03693683243157e-06,2.05383191136631e-05
"227100_at",4.74870393615971,6.09295301623729e-06,2.07258135943684e-05
"1553768_a_at",4.77810463748779,6.09793824410774e-06,2.07396910610038e-05
"1559156_at",4.72610702946011,6.10705190661173e-06,2.0767603536322e-05
"224336_s_at",-4.77958132589508,6.11083988390936e-06,2.07773999200083e-05
"205053_at",-4.78050164944202,6.12302706601357e-06,2.08157472009661e-05
"206595_at",4.95955817053031,6.15394884532508e-06,2.0917763491315e-05
"225961_at",4.79144335597072,6.16660224785268e-06,2.09576630483113e-05
"218536_at",-4.72497422825662,6.16979624713957e-06,2.09654070397979e-05
"201582_at",-4.83597574870232,6.19263634655002e-06,2.10398976776495e-05
"212021_s_at",-4.75563534132541,6.19585590298885e-06,2.10477139937932e-05
"224606_at",4.7346890463624,6.20530874627951e-06,2.1076699720605e-05
"203961_at",-4.85188982418212,6.21444792457757e-06,2.11046116276098e-05
"1555905_a_at",-4.75438030921192,6.21706743527672e-06,2.11103773862332e-05
"209064_x_at",-4.74591856488697,6.23077269149485e-06,2.11518382873906e-05
"226336_at",-4.78085844577627,6.23112487119698e-06,2.11518382873906e-05
"226463_at",4.7550686730718,6.23317138252523e-06,2.11556496997592e-05
"221479_s_at",4.72685366348106,6.2384482098378e-06,2.11672858296171e-05
"242598_at",4.73344133379091,6.23767007019115e-06,2.11672858296171e-05
"208651_x_at",-4.88321163485778,6.26028689253528e-06,2.12382388830892e-05
"225368_at",-4.73000532342977,6.28568373660021e-06,2.13212403168475e-05
"204446_s_at",4.7441669204622,6.29423910388025e-06,2.13470987999659e-05
"203661_s_at",4.83869073761922,6.30576884964674e-06,2.13798703128733e-05
"226759_at",4.84358897245869,6.30508301613128e-06,2.13798703128733e-05
"201089_at",4.7576868448236,6.3197169266962e-06,2.14239900491597e-05
"204683_at",4.80020714054998,6.32286047204175e-06,2.14301222793504e-05
"213321_at",-4.72300950912066,6.32339721276033e-06,2.14301222793504e-05
"229400_at",4.77945451841288,6.32909212395292e-06,2.144624898874e-05
"1554122_a_at",-4.70513001512764,6.33142890803632e-06,2.14509935326562e-05
"1555906_s_at",-4.78307564688299,6.33366884841181e-06,2.14545093873262e-05
"204267_x_at",-4.72145595415899,6.33434015094529e-06,2.14545093873262e-05
"235227_at",-4.70601574253656,6.34736668897743e-06,2.14954516157992e-05
"1557370_s_at",4.71824355503841,6.35496903432925e-06,2.15154787176502e-05
"222036_s_at",-4.76970063976279,6.35515930336216e-06,2.15154787176502e-05
"224355_s_at",-4.72513459888488,6.35950099753361e-06,2.15269954694816e-05
"235722_at",-4.73869236580636,6.38890188700406e-06,2.16224944360099e-05
"238565_at",-4.74829874535275,6.38960146456424e-06,2.16224944360099e-05
"239719_at",4.80141132740462,6.40744811413511e-06,2.16796844671349e-05
"236598_at",-4.74739535650206,6.41474012808425e-06,2.17011511305042e-05
"226961_at",-4.79729594844196,6.4234935650621e-06,2.17275547364669e-05
"204979_s_at",4.89666435373824,6.42829841906929e-06,2.17405963809722e-05
"226360_at",-4.79941933446615,6.43612183507458e-06,2.17638414865958e-05
"214332_s_at",-4.76778350038854,6.44109990755169e-06,2.17774595781896e-05
"203042_at",4.70603140723359,6.45294628368316e-06,2.18142920642355e-05
"201444_s_at",4.75329537631603,6.45485208852332e-06,2.18175143718196e-05
